Loại giao dịch,Thành phố,Quận/huyện,Loại hình đất,Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Hướng nhà,Hướng ban công,Mặt tiền,Đường vào,Pháp lý,Nội thất,Ngày đăng,crawl_date,Giá,Đơn vị(Mức giá)
Bán,Hồ Chí Minh,Quận 9,Căn hộ chung cư,"4,38 tỷ",74.0,2.0,,,,,,,Hợp đồng mua bán.,,2025-06-05,2025-12-30,4.38,tỷ
Bán,Đà Nẵng,Hải Châu,Căn hộ chung cư,Thỏa thuận,68.0,2.0,2,,Đông - Nam,,,,Hợp đồng mua bán,Đầy đủ,2025-06-05,2025-12-30,,
Bán,Hà Nội,Đan Phượng,Nhà biệt thự,Thỏa thuận,96.0,5.0,4,4,Đông - Nam,Đông - Nam,8.0,13.0,Hợp đồng mua bán,,2025-06-05,2025-12-30,,
Bán,Hồ Chí Minh,Bình Thạnh,Nhà mặt phố,"13,9 tỷ",65.0,5.0,3,4,,,4.0,,Sổ đỏ/ Sổ hồng,,2025-06-05,2025-12-30,13.9,tỷ
Bán,Hồ Chí Minh,Tân Bình,Nhà mặt phố,"13,6 tỷ",76.0,8.0,7,5,Tây - Nam,,,8.0,Sổ đỏ/ Sổ hồng,Cơ bản,2025-06-05,2025-12-30,13.6,tỷ
Bán,Hồ Chí Minh,Tân Bình,Nhà riêng,"2,3 tỷ",17.0,2.0,2,3,,,,3.0,Sổ đỏ/sổ hồng,Nội thất cơ bản,2025-06-05,2025-12-30,2.3,tỷ
Bán,Hà Nội,Đông Anh,Nhà biệt thự,28 tỷ,80.0,6.0,5,5,Đông - Nam,Đông - Bắc,5.0,25.0,Sổ đỏ/ Sổ hồng,Cơ bản,2025-06-05,2025-12-30,28.0,tỷ
Bán,Đà Nẵng,Hải Châu,Căn hộ chung cư,"4,5 tỷ",70.0,2.0,2,,,,,,Hợp đồng mua bán,Đầy đủ,2025-06-05,2025-12-30,4.5,tỷ
Bán,Bình Dương,Thuận An,Căn hộ chung cư,"1,5 tỷ",46.0,2.0,,,,,,,,,2025-06-05,2025-12-30,1.5,tỷ
Bán,Hà Nội,Nam Từ Liêm,Căn hộ chung cư,"4,42 tỷ",73.4,3.0,,,,Đông - Nam,,,,Đầy đủ nội thất.,2025-06-05,2025-12-30,4.42,tỷ
Bán,Hà Nội,Đông Anh,Căn hộ chung cư,Thỏa thuận,60.0,2.0,,,,,,,,,2025-06-05,2025-12-30,,
Bán,Hải Phòng,Cát Hải,Condotel,"1,8 tỷ",33.0,,,,,,,,,,2025-06-05,2025-12-30,1.8,tỷ
Bán,Hà Nội,Long Biên,Căn hộ chung cư,"5,2 tỷ",89.5,2.0,2,,,,,,,,2025-06-05,2025-12-30,5.2,tỷ
Bán,Hà Nội,Đan Phượng,Nhà biệt thự,"17,2 tỷ",96.0,,,4,,,,,,,2025-06-05,2025-12-30,17.2,tỷ
Bán,Đà Nẵng,Hải Châu,Căn hộ chung cư,230 triệu/m²,89.0,2.0,2,,,,,,Sổ đỏ/ Sổ hồng,Hoàn thiện đến tiêu chuẩn Amenities Marriott,2025-06-05,2025-12-30,230.0,triệu/m²
Bán,Đà Nẵng,Hải Châu,Căn hộ chung cư,"4,1 tỷ",67.0,2.0,2,,Nam,Nam,,,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-05,2025-12-30,4.1,tỷ
Bán,Hà Nội,Nam Từ Liêm,Căn hộ chung cư,"8,6 tỷ",110.0,3.0,2,,Tây - Bắc,Đông - Nam,,,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-05,2025-12-30,8.6,tỷ
Bán,Hà Nội,Đông Anh,Nhà biệt thự,"24,5 tỷ",75.0,,,5,Đông - Bắc,,5.0,13.0,Hợp đồng mua bán,,2025-06-05,2025-12-30,24.5,tỷ
Bán,Hà Nội,Đan Phượng,Nhà biệt thự,Thỏa thuận,96.0,4.0,4,4,Đông - Bắc,Đông - Bắc,8.0,13.0,Sổ đỏ/ Sổ hồng,Cơ bản,2025-06-05,2025-12-30,,
Bán,Đà Nẵng,Sơn Trà,Căn hộ chung cư,"3,6 tỷ",65.0,2.0,2,,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-05,2025-12-30,3.6,tỷ
Bán,Hồ Chí Minh,Gò Vấp,Nhà riêng,"4,95 tỷ",50.0,3.0,2,2,Đông,Đông,7.0,4.0,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-05,2025-12-30,4.95,tỷ
Bán,Hà Nội,Đống Đa,Nhà riêng,"6,15 tỷ",28.2,3.0,3,4,,,,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-05,2025-12-30,6.15,tỷ
Bán,Thái Nguyên,Thái Nguyên,Căn hộ chung cư,22 triệu/m²,70.0,2.0,2,,,,,,Đang chờ sổ,Cơ bản,2025-06-05,2025-12-30,22.0,triệu/m²
Bán,Đà Nẵng,Hải Châu,Căn hộ chung cư,"3,9 tỷ",68.0,2.0,2,,Đông,Đông,,,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-05,2025-12-30,3.9,tỷ
Bán,Hà Nội,Đông Anh,Nhà biệt thự,"19,7 tỷ",63.0,8.0,5,5,,Nam,5.0,17.0,Sổ đỏ/ Sổ hồng,Không nội thất,2025-06-05,2025-12-30,19.7,tỷ
Bán,Hồ Chí Minh,Thủ Đức,Căn hộ chung cư,"4,15 tỷ",65.0,2.0,2,,,,,,Hợp đồng mua bán,Không nội thất,2025-06-05,2025-12-30,4.15,tỷ
Bán,Hồ Chí Minh,Thủ Đức,Căn hộ chung cư,"2,36 tỷ",51.43,1.0,1,,,,,,Hợp đồng mua bán,Cơ bản,2025-06-05,2025-12-30,2.36,tỷ
Cho thuê,Hồ Chí Minh,Bình Thạnh,Nhà mặt phố,86 triệu/tháng,321.0,,,5,,,,,,,2025-06-05,2025-12-30,86.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Tân Phú,Kho,685 triệu/tháng,4.8,,2,,Tây - Bắc,,50.0,12.0,,Cơ bản,2025-06-05,2025-12-30,685.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Thủ Đức,Căn hộ chung cư,11 triệu/tháng,84.0,2.0,2,,Đông - Nam,,,,,"- Khóa từ Hafele. - Full bếp từ Teka, máy hút mùi. - Full thiết bị vệ sinh Grohe. - Sàn gỗ phòng ngủ cao cấp.",2025-06-05,2025-12-30,11.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Quận 7,Căn hộ chung cư,14 triệu/tháng,70.0,2.0,2,,,,,,,"Full nội thất cao cấp mới 100% máy lạnh, bếp, máy nước nóng, tủ đồ âm tường.",2025-06-05,2025-12-30,14.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Thủ Đức,Căn hộ chung cư,11 triệu/tháng,84.0,2.0,2,,,Đông - Bắc,,,,"Cơ bản nội thất: Bàn giao từ CĐT, rèm, giàn phơi, 3 máy lạnh...",2025-06-05,2025-12-30,11.0,triệu/tháng
